original_sentence,new_sentence,entity,start_idx,end_idx
The top of that mountain is flat.,The top of that Puncak Jaya is flat.,Puncak Jaya,16.0,27.0
He makes mountains out of molehills.,He makes Mount Kilimanjaro out of molehills.,Mount Kilimanjaro,9.0,26.0
They couldn't decide whether to go to the mountains or the sea.,They couldn't decide whether to go to the Nanga Parbat or the sea.,Nanga Parbat,42.0,54.0
Look at that mountain which is covered with snow.,Look at that Annapurna which is covered with snow.,Annapurna,13.0,22.0
My parents met each other in the mountains.,My parents met each other in the Puncak Jaya.,Puncak Jaya,33.0,44.0
The suspect was hiding out in the mountains for three weeks.,The suspect was hiding out in the Mount Elbrus for three weeks.,Mount Elbrus,34.0,46.0
He likes mountaineering and is at home with Japanese mountains.,He likes mountaineering and is at home with Japanese Matterhorn.,Matterhorn,53.0,63.0
Let's climb that mountain to see it.,Let's climb that Puncak Jaya to see it.,Puncak Jaya,17.0,28.0
They went to a resort in the mountains last summer.,They went to a resort in the Mount Elbrus last summer.,Mount Elbrus,29.0,41.0
How high mountain that is!,How high aDenali that is!,Denali,9.0,16.0
The hotel is at the foot of a mountain.,The hotel is at the foot of a Mount Fuji.,Mount Fuji,30.0,40.0
The river descends from the mountains to the bay below.,The river descends from the Mount Fuji to the bay below.,Mount Fuji,28.0,38.0
"The mountains could be seen from afar, and it was a breathtaking sight.","The Lhotse could be seen from afar, and it was a breathtaking sight.",Lhotse,4.0,10.0
"Let us go together. We can swim across the river, carry off the bear cubs, take them to the house on the mountain, and together find happiness.","Let us go together. We can swim across the river, carry off the bear cubs, take them to the house on the Mount Rainier, and together find happiness.",Mount Rainier,105.0,118.0
This mountain scenery is very beautiful.,This Pico de Orizaba scenery is very beautiful.,Pico de Orizaba,5.0,20.0
"At last, they reached the top of the mountain.","At last, they reached the top of the K2h.",K2,37.0,40.0
I am thinking of going to the mountains.,I am thinking of going to the Mount Vinson.,Mount Vinson,30.0,42.0
The view from the top of the mountain took my breath away.,The view from the top of the Mount Vinson took my breath away.,Mount Vinson,29.0,41.0
The mountain has a beautiful shape.,The Denali has a beautiful shape.,Denali,4.0,10.0
The top of the mountain is always covered with snow.,The top of the Dhaulagiri is always covered with snow.,Dhaulagiri,15.0,25.0
We are going to climb that mountain.,We are going to climb that mountain.,,,
"When warm, light, air crosses mountains it rises into the upper atmosphere and does not fall back to the ground. In this, and other, ways wind changes with the terrain.","When warm, light, air crosses Makalu it rises into the upper atmosphere and does not fall back to the ground. In this, and other, ways wind changes with the terrain.",Makalu,30.0,36.0
The moon is coming up over the mountains.,The moon is coming up over the K2w.,K2,31.0,34.0
We went to the mountains to ski.,We went to the Mount Rainier to ski.,Mount Rainier,15.0,28.0
"After six hours' climbing, we finally succeeded in reaching the top of the mountain.","After six hours' climbing, we finally succeeded in reaching the top of the Annapburna.",Annapurna,75.0,85.0
Tom's dream is to live in the mountains.,Tom's dream is to live in the Matterhorn.,Matterhorn,30.0,40.0
This room has fine view of the mountain.,This room has fine view of the Puncak Jaya.,Puncak Jaya,31.0,42.0
The path twists through the mountains.,The path twists through the Mount Raixnier.,Mount Rainier,28.0,42.0
There is only one pass over the mountain.,There is only one pass over the Pzuncak Jaya.,Puncak Jaya,32.0,44.0
The mountain is covered with snow.,The Manaslu is covered with snow.,Manaslu,4.0,11.0
You need good equipment to climb that mountain.,You need good equipment to climb that lK2.,K2,38.0,41.0
We think it is very dangerous that you're climbing the mountain alone.,We think it is very dangerous that you're climbing the Mount Aconcagua alone.,Mount Aconcagua,55.0,70.0
He's accustomed to climbing mountains.,He's accustomed to climbing Manaslu.,Manaslu,28.0,35.0
A man named Carlos came to a mountain village looking for that old man.,A man named Carlos came to a Manaslu village looking for that old man.,Manaslu,29.0,36.0
That mountain is about three thousand meters high.,That Mount Aconcagua is about three thousand meters high.,Mount Aconcagua,5.0,20.0
I like mountains better than seas.,I like Mahnaslu better than seas.,Manaslu,7.0,15.0
The mountains are red against the blue sky.,The Mount Rainier are red against the blue sky.,Mount Rainier,4.0,17.0
How high is the mountain?,How high is the Puncak Jaya?,Puncak Jaya,16.0,27.0
"For a person who is in good physical condition, climbing mountains is a cinch.","For a person who is in good physical condition, climbing Mount Kilimanjaro is a cinch.",Mount Kilimanjaro,57.0,74.0
Mt. Everest is the highest mountain in the world.,Mt. Everest is the highest Mont Blanc in the world.,Mont Blanc,27.0,37.0
The mountains are reflected in the lake.,The Annapurna are reflected in the lake.,Annapurna,4.0,13.0
We climbed up the stream in the mountain.,We climbed up the stream in the Makalu.,Makalu,32.0,38.0
The mountain is not as high as Mt. Fuji.,The mountain is not as high as Mt. Fuji.,,,
I anticipated a quiet vacation in the mountains.,I anticipated a quiet vacation in the Manaslqu.,Manaslu,38.0,46.0
I like the mountains more than I like the sea.,I like the Mount Fuji more than I like the sea.,Mount Fuji,11.0,21.0
"Finally, the sick, tired men reached the mountain town where he was waiting.","Finally, the sick, tired men reached the Mount Kilimanjaro town where he was waiting.",Mount Kilimanjaro,41.0,58.0
"Then, with a final, terrible scream, the monster flung itself off the mountain to its death on the rocks below.","Then, with a final, terrible scream, the monster flung itself off the Mount Fuji to its death on the rocks below.",Mount Fuji,70.0,80.0
How high is that mountain?,How high is that Mount Rainier?,Mount Rainier,17.0,30.0
This summer we'll go to the mountains and to the sea.,This summer we'll go to the Mount Vinson and to the sea.,Mount Vinson,28.0,40.0
There are many monkeys on the mountain.,There are many monkeys on the Pico de Orizaba.,Pico de Orizaba,30.0,45.0
In the mountains it is not until the end of April that the snow disappears completely from the ground.,In the Mount Rainier it is not until the end of April that the snow disappears completely from the ground.,Mount Rainier,7.0,20.0
This car has enough power to go up the mountain easily.,This car has enough power to go up the Mount Kililmanjaro easily.,Mount Kilimanjaro,39.0,57.0
The salts and minerals found in these mountains are quite diverse.,The salts and minerals found in these Mount Fuji are quite diverse.,Mount Fuji,38.0,48.0
It is dangerous to climb that mountain.,It is dangerous to climb that Mount Elbrus.,Mount Elbrus,30.0,42.0
I suggest that you visit some villages in the mountains.,I suggest that you visit some villages in the mountains.,,,
We saw a mountain in the distance.,We saw a Mount Vinson in the distance.,Mount Vinson,9.0,21.0
The lake is surrounded by mountains.,The lake is surrounded by Mount Everest.,Mount Everest,26.0,39.0
We have snow on the mountain all the year round.,We have snow on the Lhotse all the year round.,Lhotse,20.0,26.0
Finally the children saw a little orchard in the middle of the mountain with apple trees growing inside it.,Finally the children saw a little orchard in the middle of the Moucnt Vinson with apple trees growing inside it.,Mount Vinson,63.0,76.0
Nearly 80 percent of the land is mountains.,Nearly 80 percent of the land is tNanga Parbat.,Nanga Parbat,33.0,46.0
The mountain is 2000 meters above sea level.,The Denali is 2000 meters above sea level.,Denali,4.0,10.0
The mountain peak was covered with snow.,The Annapurna peak was covered with snow.,Annapurna,4.0,13.0
"Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the mountains of Afghanistan, to risk their lives for us.","Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the Mount rFuji of Afghanistan, to risk their lives for us.",Mount Fuji,106.0,117.0
We stood on the top of the mountain.,We stood on the top of the Kangchenjunga.,Kangchenjunga,27.0,40.0
Carlos climbed the mountain.,Carlos climbed the Mount Fuji.,Mount Fuji,19.0,29.0
The mountain is standing out in sharp relief against the blue sky.,The Matterhorn is standing out in sharp relief against the blue sky.,Matterhorn,4.0,14.0
"There is definitely a way to quit the world and live like an hermit in the mountains, being self-sufficient and without contact with anybody while not dying like a dog.","There is definitely a way to quit the world and live like an hermit in the Annapurna, being self-sufficient and without contact with anybody while not dying like a dog.",Annapurna,75.0,84.0
The contrast between the sky and the mountain is striking.,The contrast between the sky and the Annapurna is striking.,Annapurna,37.0,46.0
"The professional skier liked to ""hot-dog"" down the mountain.","The professional skier liked to ""hot-dog"" down the mountain.",,,
This river rises in the mountains in Nagano.,This river rises in the Puncak Jaya in Nagano.,Puncak Jaya,24.0,35.0
What's the name of the mountain range?,What's the name of the Kangchenjunga range?,Kangchenjunga,23.0,36.0
The mountains are a lush green in summer.,The K2 are a lush green in summer.,K2,4.0,6.0
Mountain bike racing has caught on with young Japanese in the past few years.,Mountain bike racing has caught on with young Japanese in the past few years.,,,
There are colossal mountains in the north.,There are colossal Makalu in the north.,Makalu,19.0,25.0
We are going to the mountains.,We are going to the Mount Everest.,Mount Everest,20.0,33.0
Mt. Everest is higher than any other mountain in the world.,Mt. Everest is higher than any other Makalu in the world.,Makalu,37.0,43.0
No one has been able to reach the top of the mountain.,No one has been able to reach the top of the Mount Rainier.,Mount Rainier,45.0,58.0
They hate him because he gives them a mountain of homework.,They hate him because he gives them a Matterhorn of homework.,Matterhorn,38.0,48.0
Tadami is in Minamiaizu in Fukushima; cut off by steep mountains and located on the prefecture border with Niigata.,Tadami is in Minamiaizu in Fukushima; cut off by steep Cho Oyu and located on the prefecture border with Niigata.,Cho Oyu,55.0,62.0
In all my travels I've never seen a more beautiful mountain than Everest.,In all my travels I've never seen a more beautiful Mount Aconcagua than Everest.,Mount Aconcagua,51.0,66.0
The action took place in a mountain village.,The action took place in a Mont Blanc village.,Mont Blanc,27.0,37.0
Some people like the sea; others prefer the mountains.,Some people like the sea; others prefer the Mount Elbrus.,Mount Elbrus,44.0,56.0
My town is surrounded by tall mountains.,My town is surrounded by tall Manaslu.,Manaslu,30.0,37.0
Mountains are not necessarily green.,Mountains are not necessarily green.,,,
You had better not climb such high mountains in winter.,You had better not climb such high Mount Aconcagua in winter.,Mount Aconcagua,35.0,50.0
I was in the mountains.,I was in the Dhaulagiri.,Dhaulagiri,13.0,23.0
"Mountains in the ocean and even whole ranges are still being discovered, and most of them have not yet been explored in detail.","Mountains in the ocean and even whole ranges are still being discovered, and most of them have not yet been explored in detail.",,,
"We climbed up the mountain, but with difficulty.","We climbed up the Monzt Blanc, but with difficulty.",Mont Blanc,18.0,29.0
"This mountain has an altitude of 3,000 meters.","This Pico de Orizaba has an altitude of 3,000 meters.",Pico de Orizaba,5.0,20.0
Look at that mountain.,Look at that Monft Blanc.,Mont Blanc,13.0,24.0
The mountain is about 3000 meters above sea level.,The Mount Kilimanjaro is about 3000 meters above sea level.,Mount Kilimanjaro,4.0,21.0
Faith can move mountains.,Faith can move Mount Acooncagua.,Mount Aconcagua,15.0,31.0
Run and hide in the mountains.,Run and hide in the Mountw Rainier.,Mount Rainier,20.0,34.0
"Seen against the sky, the mountain looked really beautiful.","Seen against the sky, the Mount Kilimanjaro looked really beautiful.",Mount Kilimanjaro,26.0,43.0
The treasure is believed to lie hidden somewhere in the mountain.,The treasure is believed to lie hidden somewhere in the Mount Vinsxon.,Mount Vinson,56.0,69.0
Why don't we go to the mountains this weekend?,Why don't we go to the Mont Blanc this weekend?,Mont Blanc,23.0,33.0
Let's go for a walk to the mountains.,Let's go for a walk to the mountains.,,,
We had native guides on our trip to the mountain.,We had native guides on our trip to the Pico de Orizaba.,Pico de Orizaba,40.0,55.0
That is such a high mountain as old people can't climb.,That is such a high Cho Oyu as old people can't climb.,Cho Oyu,20.0,27.0
All the villagers went into the mountains to look for a missing cat.,All the villagers went into the Mount Aconcagua to look for a missing cat.,Mount Aconcagua,32.0,47.0
The mountain attracts many climbers.,The Mount Fuji attracts many climbers.,Mount Fuji,4.0,14.0
The mountain is easy of access.,The mountain is easy of access.,,,
Those mountains over there have turned white this morning.,Those Matterhorn over there have turned white this morning.,Matterhorn,6.0,16.0
It's very pleasant here in the mountains.,It's very pleasant here in the Mont Blanc.,Mont Blanc,31.0,41.0
We could see the reflection of the mountains in the lake.,We could see the reflection of the Mont Blanc in the lake.,Mont Blanc,35.0,45.0
At one time I lived alone in the mountains.,At one time I lived alone in the Nanga Parbat.,Nanga Parbat,33.0,45.0
I know better than to climb mountains in winter without making all necessary preparations beforehand.,I know better than to climb Mount Kilimanjaro in winter without making all necessary preparations beforehand.,Mount Kilimanjaro,28.0,45.0
It's dangerous to climb this mountain.,It's dangerous to climb this Mount Elbrus.,Mount Elbrus,29.0,41.0
Mountains look better viewed from a distance.,Mountains look better viewed from a distance.,,,
Everest is the highest mountain in the world.,Everest is the highest Mount Rainier in the world.,Mount Rainier,23.0,36.0
The party did not succeed in climbing the mountain.,The party did not succeed in climbing the K2v.,K2,42.0,45.0
"At length, we reached the top of the mountain.","At length, we reached the top of the mountain.",,,
You should not climb the mountain in such bad weather.,You should not climb the mountain in such bad weather.,,,
We found out recently that some foxes live here on this mountain.,We found out recently that some foxes live here on this Lhotse.,Lhotse,56.0,62.0
It's not absolutely impossible to climb the mountain.,It's not absolutely impossible to climb the sK2.,K2,44.0,47.0
You cannot be careful in the mountains.,You cannot be careful in the mountains.,,,
I would have gone to the mountains had I had the money.,I would have gone to the Makalu had I had the money.,Makalu,25.0,31.0
That high mountain is Mt. Tsukuba.,That high Mount Fuji is Mt. Tsukuba.,Mount Fuji,10.0,20.0
I like to walk in the mountains.,I like to walk in the Nanga Parbat.,Nanga Parbat,22.0,34.0
That mountain is five times as high as this one.,That Nanga Parhbat is five times as high as this one.,Nanga Parbat,5.0,18.0
I saw a chain of mountains.,I saw a chain of Mount Everest.,Mount Everest,17.0,30.0
I met some hikers on the mountain.,I met some hikers on the Dhaulagiri.,Dhaulagiri,25.0,35.0
The upper part of the mountain is covered with snow.,The upper part of the Pico de Orsizaba is covered with snow.,Pico de Orizaba,22.0,38.0
It's so grey out there that I can't see the mountains on the other side of the valley.,It's so grey out there that I can't see the Mount Aconcagua on the other side of the valley.,Mount Aconcagua,44.0,59.0
We crawled like so many ants along the mountain pass.,We crawled like so many ants along the Mount Fuji pass.,Mount Fuji,39.0,49.0
"Seen from a distance, this mountain looks like Mt. Fuji.","Seen from a distance, this Mount Elbrus looks like Mt. Fuji.",Mount Elbrus,27.0,39.0
His airplane crashed in the mountains.,His airplane crashed in the Nanga Parbat.,Nanga Parbat,28.0,40.0
This mountain is difficult to climb.,This mountain is difficult to climb.,,,
It's a lot of fun to climb that mountain.,It's a lot of fun to climb that Puncak Jaya.,Puncak Jaya,32.0,43.0
"The UFO, with a zigzag movement you couldn't think of as being a plane, flew off into the mountains in the east.","The UFO, with a zigzag movement you couldn't think of as being a plane, flew off into the Delnali in the east.",Denali,90.0,97.0
We watched the sun setting behind the mountains.,We watched the sun setting behind the Kangchenjunga.,Kangchenjunga,38.0,51.0
The mountain is covered with snow all the year round.,The Annapurna is covered with snow all the year round.,Annapurna,4.0,13.0
I climb mountains because they are there.,I climb Puncak Jaya because they are there.,Puncak Jaya,8.0,19.0
The party walked down the mountain.,The party walked down the Mount Rainier.,Mount Rainier,26.0,39.0
"Playing baseball is a sport, and climbing mountains is a sport, too.","Playing baseball is a sport, and climbing Mount Everest is a sport, too.",Mount Everest,42.0,55.0
I would go to the mountains when young.,I would go to the K2 when young.,K2,18.0,20.0
Did you know that some foxes lived on this mountain?,Did you know that some foxes lived on this Nanga Parbat?,Nanga Parbat,43.0,55.0
The air is rare on high mountains.,The air is rare on high Pico de Orizaba.,Pico de Orizaba,24.0,39.0
This dog is trained to save people in the mountains.,This dog is trained to save people in the mountains.,,,
Tom loves to climb mountains.,Tom loves to climb Matterhorn.,Matterhorn,19.0,29.0
The two mountains are of equal height.,The two Mount Aconcagua are of equal height.,Mount Aconcagua,8.0,23.0
We call the mountain Tsurugidake.,We call the Mount Kilimanjaro Tsurugidake.,Mount Kilimanjaro,12.0,29.0
Your mother will probably object to your climbing the mountain.,Your mother will probably object to your climbing the Matterhorn.,Matterhorn,54.0,64.0
The air is very pure in the mountains.,The air is very pure in the Manasslu.,Manaslu,28.0,36.0
I don't like my brother climbing the mountains.,I don't like my brother climbing the Manaslu.,Manaslu,37.0,44.0
"With winter coming on, the mountains will soon be covered with snow.","With winter coming on, the mountains will soon be covered with snow.",,,
What is the height of this mountain?,What is the height of this Mount Everest?,Mount Everest,27.0,40.0
The mountains in this part of the country are full of variety.,The Pico de Orizaba in this part of the country are full of variety.,Pico de Orizaba,4.0,19.0
The mountains look nicer from a distance.,The Mount Everest look nicer from a distance.,Mount Everest,4.0,17.0
I think it's dangerous to climb that mountain alone.,I think it's dangerous to climb that K2 alone.,K2,37.0,39.0
The sun descended behind the mountains.,The sun descended behind the Denali.,Denali,29.0,35.0
My brother loves taking pictures of mountains.,My brother loves taking pictures of K2.,K2,36.0,38.0
The mountains were all around the city.,The Mournt Fuji were all around the city.,Mount Fuji,4.0,15.0
I went to Nagano to take pictures of the mountains covered with snow.,I went to Nagano to take pictures of the Mount Everest covered with snow.,Mount Everest,41.0,54.0
Some snow-covered mountains were seen in the distance.,Some snow-covered Kangchenjunga were seen in the distance.,Kangchenjunga,18.0,31.0
This mountain path ascends to the beautiful lake.,This Mount Everest path ascends to the beautiful lake.,Mount Everest,5.0,18.0
The mountain used to send out clouds of smoke.,The Mount Aconcagua used to send out clouds of smoke.,Mount Aconcagua,4.0,19.0
I like climbing mountains.,I like climbing mountains.,,,
"I know you must be buried in your mountain of mails, but I wonder if I can hear from you regarding the mail I sent you last week?","I know you must be buried in your Mont Blanc of mails, but I wonder if I can hear from you regarding the mail I sent you last week?",Mont Blanc,34.0,44.0
Betty has climbed the mountain three times.,Betty has climbed the mountain three times.,,,
We headed for the mountain cottage.,We headed for the Dhaulagiri cottage.,Dhaulagiri,18.0,28.0
We're taking a crash course in first aid before our two-week trek through the mountains.,We're taking a crash course in first aid before our two-week trek through the Matterhorn.,Matterhorn,78.0,88.0
The mountains lay covered with deep snow.,The mountains lay covered with deep snow.,,,
The girl is getting over mountains of difficulties.,The girl is getting over Lhotse of difficulties.,Lhotse,25.0,31.0
A vast forest covers the mountains.,A vast forest covers the Nanga Parbat.,Nanga Parbat,25.0,37.0
"Which do you like better, the sea or the mountains?","Which do you like better, the sea or the Matterhorn?",Matterhorn,41.0,51.0
Everything in the fields and mountains looks fresh when spring comes.,Everything in the fields and Matterhorn looks fresh when spring comes.,Matterhorn,29.0,39.0
I built a new house in view of the mountain.,I built a new house in view of the Mount Aconcagua.,Mount Aconcagua,35.0,50.0
Flat land has no mountains or hills.,Flat land has no Mount Vinson or hills.,Mount Vinson,17.0,29.0
The black and white bears living in the mountains of China and Tibet are called pandas.,The black and white bears living in the mountains of China and Tibet are called pandas.,,,
It was so nice a day that we went for a hike in the mountains.,It was so nice a day that we went for a hike in the Mount Rainier.,Mount Rainier,52.0,65.0
You'll see a lot of high mountains through the window.,You'll see a lot of high Mount Aconcagua through the window.,Mount Aconcagua,25.0,40.0
It is warmer over the mountains.,It is warmer over the mountains.,,,
I am going to write about our parks and mountains.,I am going to write about our parks and Mount Fujji.,Mount Fuji,40.0,51.0
The mountains have brought forth a mouse.,The Mount Elbrus have brought forth a mouse.,Mount Elbrus,4.0,16.0
I would rather go to the mountains than to the beach.,I would rather go to the Mount Rainier than to the beach.,Mount Rainier,25.0,38.0
That mountain is covered with snow.,That Manaslu is covered with snow.,Manaslu,5.0,12.0
Climbing this mountain is very difficult.,Climbing this Mount Everest is very difficult.,Mount Everest,14.0,27.0
Japan has a lot of beautiful mountains.,Japan has a lot of beautiful Mount Rainier.,Mount Rainier,29.0,42.0
John would often go mountain climbing when he was a student.,John would often go Mont Blanc climbing when he was a student.,Mont Blanc,20.0,30.0
"We're going up into the mountains, so why don't you come with us?","We're going up into the Dhaulagiri, so why don't you come with us?",Dhaulagiri,24.0,34.0
Not a few monkeys were found in the mountain.,Not a few monkeys were found in the Mount Rainxier.,Mount Rainier,36.0,50.0
Look at that high mountain.,Look at that high mountain.,,,
There was a tower on the top of the mountain.,There was a tower on the top of the Mount Elbrus.,Mount Elbrus,36.0,48.0
They have climbed the highest mountains and walked on the floor of the seas.,They have climbed the highest Moundt Everest and walked on the floor of the seas.,Mount Everest,30.0,44.0
"Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the mountains of Afghanistan to risk their lives for us.","Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the Nanga Parbat of Afghanistan to risk their lives for us.",Nanga Parbat,106.0,118.0
The mountains in the Himalayas are higher than those in the Andes.,The Kangchenjunga in the Himalayas are higher than those in the Andes.,Kangchenjunga,4.0,17.0
"With these eyes, I shall see mountains burn.","With these eyes, I shall see Mount Everest burn.",Mount Everest,29.0,42.0
The mountain rises above the plain.,The Pico de Orizaba rises above the plain.,Pico de Orizaba,4.0,19.0
Look at the mountains covered with snow.,Look at the Manaslu covered with snow.,Manaslu,12.0,19.0
The country is renowned for the beauty of its mountain scenery.,The country is renowned for the beauty of its K2 scenery.,K2,46.0,48.0
This mountain is among the highest in the world.,This Makalu is among the highest in the world.,Makalu,5.0,11.0
The city is at the foot of the mountain.,The city is at the foot of the Mount Kilimanjaro.,Mount Kilimanjaro,31.0,48.0
The mountain is famous in myth and legend.,The K2 is famous in myth and legend.,K2,4.0,6.0
That is the highest mountain in the world.,That is the highest Mount Aconcagua in the world.,Mount Aconcagua,20.0,35.0
The mountain top is covered with snow almost all year.,The Mount Kilimanjaro top is covered with snow almost all year.,Mount Kilimanjaro,4.0,21.0
I was roaming over the mountains all through the night.,I was roaming over the mountains all through the night.,,,
"When violent extremists operate in one stretch of mountains, people are endangered across an ocean.","When violent extremists operate in one stretch of Dhaulagiri, people are endangered across an ocean.",Dhaulagiri,50.0,60.0
He led his men and horses over snowy mountains and down into hot valleys.,He led his men and horses over snowy Mount Vinson and down into hot valleys.,Mount Vinson,37.0,49.0
That mountain is in the clouds.,That Dhhaulagiri is in the clouds.,Dhaulagiri,5.0,16.0
The summit of the mountain is covered with snow.,The summit of the Puncak Jaya is covered with snow.,Puncak Jaya,18.0,29.0
"The mountain is more than 3,000 meters above sea level.","The Lhotse is more than 3,000 meters above sea level.",Lhotse,4.0,10.0
The top of that mountain is flat.,The top of that Mount Fuji is flat.,Mount Fuji,16.0,26.0
He makes mountains out of molehills.,He makes Matterhorn out of molehills.,Matterhorn,9.0,19.0
They couldn't decide whether to go to the mountains or the sea.,They couldn't decide whether to go to the Manaslu or the sea.,Manaslu,42.0,49.0
Look at that mountain which is covered with snow.,Look at that Mount Vinson which is covered with snow.,Mount Vinson,13.0,25.0
My parents met each other in the mountains.,My parents met each other in the Mount Rainier.,Mount Rainier,33.0,46.0
The suspect was hiding out in the mountains for three weeks.,The suspect was hiding out in the mountains for three weeks.,,,
He likes mountaineering and is at home with Japanese mountains.,He likes mountaineering and is at home with Japanese Manaslu.,Manaslu,53.0,60.0
Let's climb that mountain to see it.,Let's climb that Manaslu to see it.,Manaslu,17.0,24.0
They went to a resort in the mountains last summer.,They went to a resort in the Mount Rainier last summer.,Mount Rainier,29.0,42.0
How high mountain that is!,How high Pico de Orizaba that is!,Pico de Orizaba,9.0,24.0
The hotel is at the foot of a mountain.,The hotel is at the foot of a Mount Rainier.,Mount Rainier,30.0,43.0
The river descends from the mountains to the bay below.,The river descends from the Annapurna to the bay below.,Annapurna,28.0,37.0
"The mountains could be seen from afar, and it was a breathtaking sight.","The Cho Oyu could be seen from afar, and it was a breathtaking sight.",Cho Oyu,4.0,11.0
"Let us go together. We can swim across the river, carry off the bear cubs, take them to the house on the mountain, and together find happiness.","Let us go together. We can swim across the river, carry off the bear cubs, take them to the house on the Puncak Jaya, and together find happiness.",Puncak Jaya,105.0,116.0
This mountain scenery is very beautiful.,This Makalu scenery is very beautiful.,Makalu,5.0,11.0
"At last, they reached the top of the mountain.","At last, they reached the top of the Matterhorn.",Matterhorn,37.0,47.0
I am thinking of going to the mountains.,I am thinking of going to the mountains.,,,
The view from the top of the mountain took my breath away.,The view from the top of the Mount Elbrus took my breath away.,Mount Elbrus,29.0,41.0
The mountain has a beautiful shape.,The Mount Kiolimanjaro has a beautiful shape.,Mount Kilimanjaro,4.0,22.0
The top of the mountain is always covered with snow.,The top of the mountain is always covered with snow.,,,
We are going to climb that mountain.,We are going to climb that Ky2.,K2,27.0,30.0
"When warm, light, air crosses mountains it rises into the upper atmosphere and does not fall back to the ground. In this, and other, ways wind changes with the terrain.","When warm, light, air crosses mountains it rises into the upper atmosphere and does not fall back to the ground. In this, and other, ways wind changes with the terrain.",,,
The moon is coming up over the mountains.,The moon is coming up over the Cho Oyu.,Cho Oyu,31.0,38.0
We went to the mountains to ski.,We went to the Matterhorn to ski.,Matterhorn,15.0,25.0
"After six hours' climbing, we finally succeeded in reaching the top of the mountain.","After six hours' climbing, we finally succeeded in reaching the top of the mountain.",,,
Tom's dream is to live in the mountains.,Tom's dream is to live in the Mount Vinson.,Mount Vinson,30.0,42.0
This room has fine view of the mountain.,This room has fine view of the Mount Aconcagua.,Mount Aconcagua,31.0,46.0
The path twists through the mountains.,The path twists through the Mount Kilimanjaro.,Mount Kilimanjaro,28.0,45.0
There is only one pass over the mountain.,There is only one pass over the Puncak Jaya.,Puncak Jaya,32.0,43.0
The mountain is covered with snow.,The Moubnt Elbrus is covered with snow.,Mount Elbrus,4.0,17.0
You need good equipment to climb that mountain.,You need good equipment to climb that K2.,K2,38.0,40.0
We think it is very dangerous that you're climbing the mountain alone.,We think it is very dangerous that you're climbing the Mount Fuji alone.,Mount Fuji,55.0,65.0
He's accustomed to climbing mountains.,He's accustomed to climbing Matterhorn.,Matterhorn,28.0,38.0
A man named Carlos came to a mountain village looking for that old man.,A man named Carlos came to a Lhotse village looking for that old man.,Lhotse,29.0,35.0
That mountain is about three thousand meters high.,That Nanga Parbat is about three thousand meters high.,Nanga Parbat,5.0,17.0
I like mountains better than seas.,I like Mount Aconcagua better than seas.,Mount Aconcagua,7.0,22.0
The mountains are red against the blue sky.,The Mount Elbrus are red against the blue sky.,Mount Elbrus,4.0,16.0
How high is the mountain?,How high is the Mont Blanc?,Mont Blanc,16.0,26.0
"For a person who is in good physical condition, climbing mountains is a cinch.","For a person who is in good physical condition, climbing Manaslua is a cinch.",Manaslu,57.0,65.0
Mt. Everest is the highest mountain in the world.,Mt. Everest is the highest Mount Fujyi in the world.,Mount Fuji,27.0,38.0
The mountains are reflected in the lake.,The Pico de Orizaba are reflected in the lake.,Pico de Orizaba,4.0,19.0
We climbed up the stream in the mountain.,We climbed up the stream in the Nanga Parbat.,Nanga Parbat,32.0,44.0
The mountain is not as high as Mt. Fuji.,The Mount Kilimanjaro is not as high as Mt. Fuji.,Mount Kilimanjaro,4.0,21.0
I anticipated a quiet vacation in the mountains.,I anticipated a quiet vacation in the Mount Kislimanjaro.,Mount Kilimanjaro,38.0,56.0
I like the mountains more than I like the sea.,I like the mountains more than I like the sea.,,,
"Finally, the sick, tired men reached the mountain town where he was waiting.","Finally, the sick, tired men reached the K2 town where he was waiting.",K2,41.0,43.0
"Then, with a final, terrible scream, the monster flung itself off the mountain to its death on the rocks below.","Then, with a final, terrible scream, the monster flung itself off the Pico de Oxrizaba to its death on the rocks below.",Pico de Orizaba,70.0,86.0
How high is that mountain?,How high is that Dhaulagiri?,Dhaulagiri,17.0,27.0
This summer we'll go to the mountains and to the sea.,This summer we'll go to the Mount Raibnier and to the sea.,Mount Rainier,28.0,42.0
There are many monkeys on the mountain.,There are many monkeys on the Pico de Orizaba.,Pico de Orizaba,30.0,45.0
In the mountains it is not until the end of April that the snow disappears completely from the ground.,In the Makalu it is not until the end of April that the snow disappears completely from the ground.,Makalu,7.0,13.0
This car has enough power to go up the mountain easily.,This car has enough power to go up the Nanga Parbat easily.,Nanga Parbat,39.0,51.0
The salts and minerals found in these mountains are quite diverse.,The salts and minerals found in these Mount Elbrus are quite diverse.,Mount Elbrus,38.0,50.0
It is dangerous to climb that mountain.,It is dangerous to climb that Denali.,Denali,30.0,36.0
I suggest that you visit some villages in the mountains.,I suggest that you visit some villages in the Cho Oyu.,Cho Oyu,46.0,53.0
We saw a mountain in the distance.,We saw a Mount Fujoi in the distance.,Mount Fuji,9.0,20.0
The lake is surrounded by mountains.,The lake is surrounded by Nanga Parbat.,Nanga Parbat,26.0,38.0
